observation_date,ALPCPI,ARPCPI,CAPCPI,DCPCPI,LAPCPI,WAPCPI,MSPCPI,ILPCPI,SCPCPI,PAPCPI,NYPCPI,NJPCPI
1929-01-01,319,303,994,1324,409,740,277,951,267,776,1156,921
1930-01-01,263,224,889,1314,353,657,197,810,239,717,1042,851
1931-01-01,220,207,753,1253,315,534,169,673,203,605,889,741
1932-01-01,159,152,584,1107,238,402,122,489,156,455,686,593
1933-01-01,164,153,550,945,226,376,127,441,172,423,634,529
1934-01-01,207,182,605,963,263,442,167,508,207,487,688,578
1935-01-01,216,204,665,1031,289,491,174,576,228,524,732,631
1936-01-01,249,243,776,1143,328,570,222,654,256,608,819,715
1937-01-01,266,253,801,1211,352,601,220,734,271,643,848,753
1938-01-01,242,228,779,1142,347,583,196,652,248,570,801,704
1939-01-01,251,246,790,1164,359,618,201,710,275,609,837,757
1940-01-01,281,257,856,1221,365,667,212,758,314,659,883,830
1941-01-01,379,344,1034,1271,465,885,316,901,415,786,1012,969
1942-01-01,532,491,1324,1474,617,1233,457,1049,580,965,1191,1185
1943-01-01,676,572,1589,1630,811,1507,553,1278,675,1169,1416,1454
1944-01-01,753,698,1616,1670,896,1557,642,1405,753,1272,1569,1576
1945-01-01,799,753,1620,1754,908,1452,640,1488,772,1305,1681,1609
1946-01-01,763,760,1706,1826,845,1432,618,1550,791,1305,1725,1547
1947-01-01,809,740,1724,1878,890,1531,669,1651,803,1378,1751,1589
1948-01-01,881,881,1816,2120,1023,1678,797,1817,926,1437,1783,1667
1949-01-01,838,818,1800,2286,1082,1656,711,1690,885,1403,1738,1639
1950-01-01,919,849,1947,2427,1132,1797,780,1842,943,1552,1868,1820
1951-01-01,1071,970,2166,2547,1234,1955,866,2041,1158,1719,2020,2024
1952-01-01,1137,1043,2303,2693,1309,2063,921,2106,1238,1797,2075,2144
1953-01-01,1193,1084,2345,2599,1374,2168,955,2223,1274,1903,2160,2262
1954-01-01,1167,1100,2323,2621,1364,2183,946,2193,1210,1835,2190,2246
1955-01-01,1305,1202,2478,2623,1419,2222,1069,2288,1272,1923,2310,2322
1956-01-01,1390,1262,2597,2840,1532,2277,1077,2473,1306,2071,2432,2469
1957-01-01,1460,1280,2683,2939,1650,2371,1088,2542,1337,2184,2542,2575
1958-01-01,1496,1339,2705,3027,1669,2376,1180,2511,1368,2175,2608,2480
1959-01-01,1553,1436,2847,3106,1716,2480,1275,2639,1448,2247,2750,2611
1960-01-01,1585,1424,2931,3125,1715,2539,1267,2698,1493,2305,2847,2712
1961-01-01,1616,1535,2986,3236,1770,2640,1359,2792,1556,2342,2936,2777
1962-01-01,1695,1600,3110,3438,1841,2788,1397,2907,1658,2452,3055,2936
1963-01-01,1782,1676,3211,3605,1944,2841,1534,2989,1728,2530,3160,3008
1964-01-01,1914,1799,3383,3827,2036,2968,1590,3142,1845,2684,3351,3163
1965-01-01,2048,1902,3531,4129,2174,3190,1722,3373,2024,2854,3531,3344
1966-01-01,2184,2109,3784,4344,2369,3498,1879,3608,2251,3066,3768,3577
1967-01-01,2311,2238,4001,4655,2576,3689,2048,3801,2416,3279,4044,3810
1968-01-01,2536,2419,4334,4968,2805,3986,2250,4055,2656,3546,4435,4135
1969-01-01,2831,2681,4676,4939,2975,4258,2496,4392,2959,3862,4619,4581
1970-01-01,3081,2915,4965,5528,3195,4400,2736,4632,3225,4135,4920,4909
